"","Counties","Month","Number of Calls"
"1","Alameda","April",331
"2","Alameda","May",316
"3","Alameda","June",317
"4","Alameda","July",310
"5","Alpine","April",0
"6","Alpine","May",0
"7","Alpine","June",0
"8","Alpine","July",0
"9","Amador","April",29
"10","Amador","May",86
"11","Amador","June",78
"12","Amador","July",68
"13","Butte","April",78
"14","Butte","May",173
"15","Butte","June",136
"16","Butte","July",132
"17","Calaveras","April",10
"18","Calaveras","May",26
"19","Calaveras","June",15
"20","Calaveras","July",7
"21","Colusa","April",0
"22","Colusa","May",0
"23","Colusa","June",0
"24","Colusa","July",0
"25","Contra Costa","April",0
"26","Contra Costa","May",0
"27","Contra Costa","June",0
"28","Contra Costa","July",0
"29","Del Norte","April",0
"30","Del Norte","May",0
"31","Del Norte","June",0
"32","Del Norte","July",0
"33","El Dorado","April",0
"34","El Dorado","May",0
"35","El Dorado","June",0
"36","El Dorado","July",0
"37","Fresno","April",149
"38","Fresno","May",63
"39","Fresno","June",135
"40","Fresno","July",95
"41","Glenn","April",1
"42","Glenn","May",1
"43","Glenn","June",3
"44","Glenn","July",1
"45","Humboldt","April",37
"46","Humboldt","May",65
"47","Humboldt","June",48
"48","Humboldt","July",61
"49","Imperial","April",32
"50","Imperial","May",38
"51","Imperial","June",4
"52","Imperial","July",13
"53","Inyo","April",3
"54","Inyo","May",0
"55","Inyo","June",0
"56","Inyo","July",1
"57","Kern","April",82
"58","Kern","May",66
"59","Kern","June",38
"60","Kern","July",58
"61","Kings","April",4
"62","Kings","May",2
"63","Kings","June",3
"64","Kings","July",17
"65","Lake","April",5
"66","Lake","May",5
"67","Lake","June",3
"68","Lake","July",1
"69","Lassen","April",4
"70","Lassen","May",0
"71","Lassen","June",0
"72","Lassen","July",0
"73","Los Angeles","April",0
"74","Los Angeles","May",0
"75","Los Angeles","June",0
"76","Los Angeles","July",0
"77","Los Angeles City","April",0
"78","Los Angeles City","May",0
"79","Los Angeles City","June",0
"80","Los Angeles City","July",0
"81","Madera","April",23
"82","Madera","May",29
"83","Madera","June",26
"84","Madera","July",13
"85","Marin","April",85
"86","Marin","May",97
"87","Marin","June",73
"88","Marin","July",98
"89","Mariposa","April",3
"90","Mariposa","May",0
"91","Mariposa","June",3
"92","Mariposa","July",0
"93","Mendocino","April",39
"94","Mendocino","May",50
"95","Mendocino","June",23
"96","Mendocino","July",57
"97","Merced","April",23
"98","Merced","May",21
"99","Merced","June",29
"100","Merced","July",33
"101","Modoc","April",0
"102","Modoc","May",0
"103","Modoc","June",0
"104","Modoc","July",1
"105","Mono","April",1
"106","Mono","May",0
"107","Mono","June",0
"108","Mono","July",0
"109","Monterey","April",137
"110","Monterey","May",228
"111","Monterey","June",155
"112","Monterey","July",261
"113","Napa","April",21
"114","Napa","May",32
"115","Napa","June",11
"116","Napa","July",9
"117","Nevada","April",9
"118","Nevada","May",33
"119","Nevada","June",18
"120","Nevada","July",3
"121","Orange","April",550
"122","Orange","May",497
"123","Orange","June",306
"124","Orange","July",337
"125","Placer","April",103
"126","Placer","May",70
"127","Placer","June",39
"128","Placer","July",94
"129","Plumas","April",3
"130","Plumas","May",3
"131","Plumas","June",1
"132","Plumas","July",0
"133","Riverside","April",272
"134","Riverside","May",237
"135","Riverside","June",254
"136","Riverside","July",244
"137","Sacramento","April",472
"138","Sacramento","May",406
"139","Sacramento","June",349
"140","Sacramento","July",331
"141","San Benito","April",2
"142","San Benito","May",0
"143","San Benito","June",0
"144","San Benito","July",1
"145","San Bernardino","April",193
"146","San Bernardino","May",157
"147","San Bernardino","June",132
"148","San Bernardino","July",142
"149","San Diego","April",0
"150","San Diego","May",0
"151","San Diego","June",0
"152","San Diego","July",0
"153","San Francisco","April",0
"154","San Francisco","May",0
"155","San Francisco","June",0
"156","San Francisco","July",0
"157","San Joaquin","April",0
"158","San Joaquin","May",0
"159","San Joaquin","June",0
"160","San Joaquin","July",0
"161","San Luis Obispo","April",53
"162","San Luis Obispo","May",53
"163","San Luis Obispo","June",45
"164","San Luis Obispo","July",58
"165","San Mateo","April",0
"166","San Mateo","May",0
"167","San Mateo","June",0
"168","San Mateo","July",0
"169","Santa Barbara","April",0
"170","Santa Barbara","May",0
"171","Santa Barbara","June",0
"172","Santa Barbara","July",0
"173","Santa Clara","April",443
"174","Santa Clara","May",463
"175","Santa Clara","June",251
"176","Santa Clara","July",288
"177","Santa Cruz","April",53
"178","Santa Cruz","May",55
"179","Santa Cruz","June",59
"180","Santa Cruz","July",60
"181","Shasta","April",23
"182","Shasta","May",27
"183","Shasta","June",13
"184","Shasta","July",16
"185","Sierra","April",0
"186","Sierra","May",1
"187","Sierra","June",0
"188","Sierra","July",0
"189","Siskiyou","April",3
"190","Siskiyou","May",13
"191","Siskiyou","June",2
"192","Siskiyou","July",6
"193","Solano","April",95
"194","Solano","May",39
"195","Solano","June",39
"196","Solano","July",56
"197","Sonoma","April",103
"198","Sonoma","May",112
"199","Sonoma","June",121
"200","Sonoma","July",204
"201","Stanislaus","April",65
"202","Stanislaus","May",38
"203","Stanislaus","June",28
"204","Stanislaus","July",47
"205","Sutter","April",9
"206","Sutter","May",12
"207","Sutter","June",4
"208","Sutter","July",8
"209","Tehama","April",7
"210","Tehama","May",2
"211","Tehama","June",4
"212","Tehama","July",8
"213","Trinity","April",1
"214","Trinity","May",2
"215","Trinity","June",0
"216","Trinity","July",1
"217","Tulare","April",61
"218","Tulare","May",117
"219","Tulare","June",94
"220","Tulare","July",118
"221","Tuolumne","April",34
"222","Tuolumne","May",56
"223","Tuolumne","June",21
"224","Tuolumne","July",44
"225","Unknown","April",310
"226","Unknown","May",179
"227","Unknown","June",251
"228","Unknown","July",462
"229","Ventura","April",133
"230","Ventura","May",148
"231","Ventura","June",135
"232","Ventura","July",108
"233","Yolo","April",36
"234","Yolo","May",45
"235","Yolo","June",33
"236","Yolo","July",35
"237","Yuba","April",33
"238","Yuba","May",47
"239","Yuba","June",45
"240","Yuba","July",38
